Year,Rank,Recipient,Country,Career,Tied,Title
2022,2,"Lila Konopelski",Tuvalu,"Structural Iron and Steel Worker",0,"Lila Konopelski"
2022,3,"Jean Langosh",Serbia,"Social Worker",0,"Jean Langosh"
2022,4,"Mckenna Rutherford Sr.",Australia,"Fashion Model",0,"Mckenna Rutherford Sr."
2022,5,"Prof. Stanley Farrell III",Vietnam,"Reservation Agent OR Transportation Ticket Agent",0,"Prof. Stanley Farrell III"
2022,6,"Hassie Aufderhar Jr.",Sweden,"Preschool Teacher",0,"Hassie Aufderhar Jr."
2022,7,"Vida Hill MD",Azerbaijan,"Personal Service Worker",0,"Vida Hill MD"
2022,8,"Arianna Hilpert",Seychelles,"Agricultural Technician",0,"Arianna Hilpert"
2022,9,"Miss Elta Jast","Antigua and Barbuda","Food Scientists and Technologist",0,"Miss Elta Jast"
2022,10,"Araceli Ferry",Argentina,"Urban Planner",0,"Araceli Ferry"
2022,1,"Dr. Earline Heaney DVM",China,"Precision Printing Worker",0,"Dr. Earline Heaney DVM"
2022,2,"Irwin Bogisich","New Caledonia",Silversmith,0,"Irwin Bogisich"
2022,3,"Dr. Nicolas Bernier III",Montserrat,"Freight and Material Mover",0,"Dr. Nicolas Bernier III"
2022,4,"Sonny Rippin",Canada,CFO,0,"Sonny Rippin"
2022,5,"Kyra Swaniawski",Bahamas,"Marine Oiler",0,"Kyra Swaniawski"
2022,6,"Mr. Abner Bahringer Sr.",Macedonia,Landscaper,0,"Mr. Abner Bahringer Sr."
2022,7,"Gretchen Pfannerstill",Djibouti,"Well and Core Drill Operator",0,"Gretchen Pfannerstill"
2022,8,"Orin Gottlieb","Lao People's Democratic Republic","Materials Scientist",0,"Orin Gottlieb"
2022,9,"Jovany Heaney",Eritrea,"Armored Assault Vehicle Crew Member",0,"Jovany Heaney"
2022,10,"Alyson Hauck MD",Nicaragua,"Operating Engineer",0,"Alyson Hauck MD"
2022,1,"Miss Elva Klocko","French Southern Territories",Admin,0,"Miss Elva Klocko"
2022,2,"Roosevelt Pfeffer",Bermuda,"Shoe and Leather Repairer",0,"Roosevelt Pfeffer"
2022,3,"Mr. Abel Ledner","Norfolk Island","Director Of Business Development",0,"Mr. Abel Ledner"
2022,4,"Renee Stroman",Gabon,"Business Development Manager",0,"Renee Stroman"
2022,5,"Mrs. Shanel Walsh DVM",Chile,"Molding and Casting Worker",0,"Mrs. Shanel Walsh DVM"
2022,6,"Ted Lindgren",Kuwait,"Railroad Inspector",0,"Ted Lindgren"
2022,7,"Elfrieda Kuvalis","Cook Islands","Environmental Science Technician",0,"Elfrieda Kuvalis"
2022,8,"Prof. Lorenza Goyette MD","British Indian Ocean Territory (Chagos Archipelago)","Gas Pumping Station Operator",0,"Prof. Lorenza Goyette MD"
2022,9,"Emery Klein","Sao Tome and Principe","Employment Interviewer",0,"Emery Klein"
2022,10,"Jennifer Corwin",Togo,"Central Office",0,"Jennifer Corwin"
2022,1,"Miss Lera Mraz MD",Mongolia,Locksmith,0,"Miss Lera Mraz MD"
2022,2,"Caroline Nikolaus","New Zealand",Detective,0,"Caroline Nikolaus"
2022,3,"Zachary Barton","Kyrgyz Republic","Telephone Operator",0,"Zachary Barton"
2022,4,"Prof. Cielo Stroman Sr.","Cook Islands","Coil Winders",0,"Prof. Cielo Stroman Sr."
2022,5,"Heather Reichel PhD",Sudan,"Agricultural Technician",0,"Heather Reichel PhD"
2022,6,"Melyssa Stoltenberg",Djibouti,"Electrical Sales Representative",0,"Melyssa Stoltenberg"
2022,7,"Eulah Runolfsdottir",Togo,Biologist,0,"Eulah Runolfsdottir"
2022,8,"Prof. Geoffrey Rath V",Monaco,Forester,0,"Prof. Geoffrey Rath V"
2022,9,"Thad Hauck",India,"Housekeeping Supervisor",0,"Thad Hauck"
2022,10,"Leonor Robel","Heard Island and McDonald Islands","Precision Pattern and Die Caster",0,"Leonor Robel"
2022,1,"Elizabeth Crist Sr.","Cayman Islands","Real Estate Appraiser",0,"Elizabeth Crist Sr."
2022,2,"Dr. Logan Altenwerth Jr.","Antarctica (the territory South of 60 deg S)","Fiberglass Laminator and Fabricator",0,"Dr. Logan Altenwerth Jr."
2022,3,"Virginia Rutherford",Tonga,"Model Maker",0,"Virginia Rutherford"
2022,4,"Eldred Murphy",Norway,"Costume Attendant",0,"Eldred Murphy"
2022,5,"Ray Bartoletti",Monaco,"Video Editor",0,"Ray Bartoletti"
2022,6,"Henderson Armstrong DVM","New Caledonia","Architectural Drafter",0,"Henderson Armstrong DVM"
2022,7,"Mrs. Sophia Rempel",Philippines,"Athletes and Sports Competitor",0,"Mrs. Sophia Rempel"
2022,8,"Anabelle Hermann DVM",Serbia,"Heavy Equipment Mechanic",0,"Anabelle Hermann DVM"
2022,9,"Eli Grant",Kuwait,"School Social Worker",0,"Eli Grant"
2022,10,"Dr. Vanessa Hamill",Denmark,Economist,0,"Dr. Vanessa Hamill"
2022,1,"Katharina Bosco","Bosnia and Herzegovina","Product Safety Engineer",0,"Katharina Bosco"
2022,2,"Morris Pagac",Algeria,"Urban Planner",0,"Morris Pagac"
2022,3,"Luisa Wisozk",Bangladesh,"Nursery Worker",0,"Luisa Wisozk"
2022,4,"Timmy Morissette","Trinidad and Tobago","MARCOM Director",0,"Timmy Morissette"
2022,5,"Margarete Schaefer",Turkey,"Supervisor Fire Fighting Worker",0,"Margarete Schaefer"
2022,6,"Gayle Glover Sr.",Botswana,"Industrial Machinery Mechanic",0,"Gayle Glover Sr."
2022,7,"Freeda Trantow",Moldova,"Pile-Driver Operator",0,"Freeda Trantow"
2022,8,"Alexandrea Walter Jr.",Mauritania,"Aircraft Body Repairer",0,"Alexandrea Walter Jr."
2022,9,"Mrs. Greta Heaney",Turkmenistan,"Technical Specialist",0,"Mrs. Greta Heaney"
2022,10,"Mr. Norwood Purdy",Cuba,"Sound Engineering Technician",0,"Mr. Norwood Purdy"
2022,1,"Christina Eichmann DDS",Denmark,Sculptor,0,"Christina Eichmann DDS"
2022,2,"Isaias Sipes",Turkey,Illustrator,0,"Isaias Sipes"
2022,3,"Louisa Howell",Liechtenstein,"Team Assembler",0,"Louisa Howell"
2022,4,"Hudson Douglas",Bahrain,"Education Administrator",0,"Hudson Douglas"
2022,5,"Alysa Crist","Marshall Islands","Automatic Teller Machine Servicer",0,"Alysa Crist"
2022,6,"Jayson Smith",Palau,Coroner,0,"Jayson Smith"
2022,7,"Name Borer",Anguilla,Counselor,0,"Name Borer"
2022,8,"Mrs. Susan O'Connell","South Georgia and the South Sandwich Islands","HR Specialist",0,"Mrs. Susan O'Connell"
2022,9,"Miss Angeline Pollich V","French Polynesia",Typesetter,0,"Miss Angeline Pollich V"
2022,10,"Thurman Wuckert",Australia,Biochemist,0,"Thurman Wuckert"
2022,1,"Mr. Ahmed Harris V",France,"Private Household Cook",0,"Mr. Ahmed Harris V"
2022,2,"Mrs. Phyllis Farrell DDS","Heard Island and McDonald Islands","Wellhead Pumper",0,"Mrs. Phyllis Farrell DDS"
2022,3,"Madelyn Leuschke",Mauritius,"Team Assembler",0,"Madelyn Leuschke"
2022,4,"Mrs. Hulda Walter V",Gabon,"Marine Architect",0,"Mrs. Hulda Walter V"
2022,5,"Mr. Enoch Luettgen","Heard Island and McDonald Islands","Web Developer",0,"Mr. Enoch Luettgen"
2022,6,"Desmond Watsica","Norfolk Island","Commercial and Industrial Designer",0,"Desmond Watsica"
2022,7,"Dion Cruickshank","United Kingdom","Engineering Teacher",0,"Dion Cruickshank"
2022,8,"Dusty Sawayn",Luxembourg,"Electro-Mechanical Technician",0,"Dusty Sawayn"
2022,9,"Noemy VonRueden V","Cape Verde","Title Examiner",0,"Noemy VonRueden V"
2022,10,"Prof. Bernadette Reilly I",Haiti,"Outdoor Power Equipment Mechanic",0,"Prof. Bernadette Reilly I"
2022,1,"Jewell Little",Maldives,"Police Identification OR Records Officer",0,"Jewell Little"
2022,2,"Johnathon Cummings",Liberia,"Valve Repairer OR Regulator Repairer",0,"Johnathon Cummings"
2022,3,"June Block","Holy See (Vatican City State)","Agricultural Equipment Operator",0,"June Block"
2022,4,"Ms. Andreanne Jacobs Sr.","Equatorial Guinea","Welding Machine Setter",0,"Ms. Andreanne Jacobs Sr."
2022,5,"Carrie Bahringer",Reunion,"Bulldozer Operator",0,"Carrie Bahringer"
2022,6,"Emerald Bednar",Palau,"Ship Carpenter and Joiner",0,"Emerald Bednar"
2022,7,"Robyn Monahan",Kenya,Sculptor,0,"Robyn Monahan"
2022,8,"Prof. Angel Gutmann DVM",Guinea-Bissau,"Environmental Engineer",0,"Prof. Angel Gutmann DVM"
2022,9,"Abdul Collins","Costa Rica","Craft Artist",0,"Abdul Collins"
2022,10,"Lizeth Harris",Chile,"MARCOM Director",0,"Lizeth Harris"
2022,1,"Emmitt Olson",Turkey,"Educational Counselor OR Vocationall Counselor",0,"Emmitt Olson"
2022,2,"Ashly Ledner Sr.",Finland,"Pipelaying Fitter",0,"Ashly Ledner Sr."
2022,3,"Maddison Volkman",Azerbaijan,Cook,0,"Maddison Volkman"
2022,4,"Andres Mueller","New Caledonia","Supervisor Fire Fighting Worker",0,"Andres Mueller"
2022,5,"Prof. Clint Wisozk PhD",Guatemala,"Musical Instrument Tuner",0,"Prof. Clint Wisozk PhD"
2022,6,"Mr. Monte Altenwerth",Portugal,"Farm and Home Management Advisor",0,"Mr. Monte Altenwerth"
2022,7,"Marlen Murazik",Tokelau,"Transportation Inspector",0,"Marlen Murazik"
2022,8,"Ms. Edyth Tromp",Nigeria,"Educational Psychologist",0,"Ms. Edyth Tromp"
2022,9,"Prof. Brian Kling Sr.",Ghana,"Distribution Manager",0,"Prof. Brian Kling Sr."
2022,10,"Madisyn Turcotte PhD",Angola,"Food Servers",0,"Madisyn Turcotte PhD"
2022,1,"Trinity Howe DVM",Anguilla,"Welding Machine Setter",0,"Trinity Howe DVM"
2022,2,"Mariela Kirlin",Liberia,Bellhop,0,"Mariela Kirlin"
2022,3,"Lonny Rath",Paraguay,"Library Technician",0,"Lonny Rath"
2022,4,"Tad Barton",Lebanon,Webmaster,0,"Tad Barton"
2022,5,"Alexanne Stoltenberg",Madagascar,"Textile Cutting Machine Operator",0,"Alexanne Stoltenberg"
2022,6,"Kianna Gleason",Ireland,"Radiologic Technician",0,"Kianna Gleason"
2022,7,"Prof. Marlin Towne",Iraq,Rigger,0,"Prof. Marlin Towne"
2022,8,"Steve Hagenes",Peru,Orthodontist,0,"Steve Hagenes"
2022,9,"Dr. Lafayette Doyle","Christmas Island","Machine Operator",0,"Dr. Lafayette Doyle"
2022,10,"Shanelle Yost",Maldives,"Petroleum Pump Operator",0,"Shanelle Yost"
2022,1,"Kirk Pfeffer DVM",Canada,Machinist,0,"Kirk Pfeffer DVM"
2022,2,"Ena Jast",Ecuador,"Fishing OR Forestry Supervisor",0,"Ena Jast"
2022,3,"Jane Beahan",Uganda,Electrotyper,0,"Jane Beahan"
2022,4,"Adele Will",Estonia,"Tax Examiner",0,"Adele Will"
2022,5,"Nicole Conn",Indonesia,Pipelayer,0,"Nicole Conn"
2022,6,"Bailey Lindgren",Vietnam,"Automatic Teller Machine Servicer",0,"Bailey Lindgren"
2022,7,"Dr. Drake Baumbach PhD","Solomon Islands",Buyer,0,"Dr. Drake Baumbach PhD"
2022,8,"Sim O'Hara",Niue,Recruiter,0,"Sim O'Hara"
2022,9,"Dr. Noah Fay",Hungary,"Speech-Language Pathologist",0,"Dr. Noah Fay"
2022,10,"Bessie Willms",Congo,"Engine Assembler",0,"Bessie Willms"
2022,1,"Dorcas King","American Samoa","Dental Laboratory Technician",0,"Dorcas King"
2022,2,"Kathlyn McClure","Hong Kong","Photographic Developer",0,"Kathlyn McClure"
2022,3,"Ms. Aliza Senger",Benin,"Host and Hostess",0,"Ms. Aliza Senger"
2022,4,"Ursula Lang",Lithuania,"Welding Machine Tender",0,"Ursula Lang"
2022,5,"Bernie Huel",Guatemala,"Medical Records Technician",0,"Bernie Huel"
2022,6,"Margarita Windler DVM",Niue,Baker,0,"Margarita Windler DVM"
2022,7,"Mr. Merle Daniel III",Bahrain,"Radio and Television Announcer",0,"Mr. Merle Daniel III"
2022,8,"Loraine Beier",Botswana,"Athletes and Sports Competitor",0,"Loraine Beier"
2022,9,"Jeramy Monahan I",Zimbabwe,"Software Engineer",0,"Jeramy Monahan I"
2022,10,"Salvatore Kemmer Sr.",Greece,"Tree Trimmer",0,"Salvatore Kemmer Sr."
2022,1,"Tessie Bruen",Egypt,Economist,0,"Tessie Bruen"
2022,2,"Krystal Jakubowski","Palestinian Territories",Podiatrist,0,"Krystal Jakubowski"
2022,3,"Madelyn O'Conner III",Oman,Orthodontist,0,"Madelyn O'Conner III"
2022,4,"Prof. Lesley Willms",Oman,Singer,0,"Prof. Lesley Willms"
2022,5,"Eunice Bauch",Chile,"Veterinary Technician",0,"Eunice Bauch"
2022,6,"Berneice Gleichner",Brazil,Embalmer,0,"Berneice Gleichner"
2022,7,"Vladimir Fisher",Timor-Leste,"Insulation Installer",0,"Vladimir Fisher"
2022,8,"Fabiola Koch",China,Drafter,0,"Fabiola Koch"
2022,9,"Mr. Leon Schmitt I","French Southern Territories","Optical Instrument Assembler",0,"Mr. Leon Schmitt I"
2022,10,"Prof. Esther Ledner",Uzbekistan,"Word Processors and Typist",0,"Prof. Esther Ledner"
2022,1,"Veronica Johnston",Macedonia,"Desktop Publisher",0,"Veronica Johnston"
2022,2,"Dr. Maurine Collins I",Eritrea,"Logging Equipment Operator",0,"Dr. Maurine Collins I"
2022,3,"Elisa Klocko",Samoa,"Metal Fabricator",0,"Elisa Klocko"
2022,4,"Eleanore Frami",France,"User Experience Researcher",0,"Eleanore Frami"
2022,5,"Ayla Ritchie","Faroe Islands","Fast Food Cook",0,"Ayla Ritchie"
2022,6,"Clement Johnson",Comoros,"Plastic Molding Machine Operator",0,"Clement Johnson"
2022,7,"Dakota Daniel",Oman,"Printing Press Machine Operator",0,"Dakota Daniel"
2022,8,"Oleta Ritchie II",Timor-Leste,"Animal Husbandry Worker",0,"Oleta Ritchie II"
2022,9,"Elda Terry MD",Djibouti,"Umpire and Referee",0,"Elda Terry MD"
2022,10,"Mr. Rico Durgan Sr.","Heard Island and McDonald Islands","Aircraft Launch Specialist",0,"Mr. Rico Durgan Sr."
2022,1,"Mrs. Aditya Medhurst",Mexico,"Diagnostic Medical Sonographer",0,"Mrs. Aditya Medhurst"
2022,2,"Carolanne Veum",Jordan,"Park Naturalist",0,"Carolanne Veum"
2022,3,"Pat Dicki","Norfolk Island","Network Admin OR Computer Systems Administrator",0,"Pat Dicki"
2022,4,"Joana Barton",Djibouti,Buyer,0,"Joana Barton"
2022,5,"Catherine Carter",Kazakhstan,Fitter,0,"Catherine Carter"
2022,6,"Maia Wiegand Sr.","Saint Vincent and the Grenadines","Dot Etcher",0,"Maia Wiegand Sr."
2022,7,"Daphney Dickens","Cote d'Ivoire","Calibration Technician OR Instrumentation Technician",0,"Daphney Dickens"
2022,8,"Madilyn Jast","United States Virgin Islands","Medical Transcriptionist",0,"Madilyn Jast"
2022,9,"Rashad Bode",Fiji,"Etcher and Engraver",0,"Rashad Bode"
2022,10,"Prof. Billy Stroman",Germany,"Watch Repairer",0,"Prof. Billy Stroman"
2022,1,"Dolly Kirlin",Montserrat,"Motorboat Mechanic",0,"Dolly Kirlin"
2022,2,"Prof. Eusebio Lowe III",Ethiopia,Cook,0,"Prof. Eusebio Lowe III"
2022,3,"Loy Legros","Marshall Islands","Retail Sales person",0,"Loy Legros"
2022,4,"Prof. Lesley Stoltenberg IV",Malta,"Recyclable Material Collector",0,"Prof. Lesley Stoltenberg IV"
2022,5,"Felicity Schneider",Italy,"Construction Laborer",0,"Felicity Schneider"
2022,6,"Bulah Fay DVM",Panama,"Art Director",0,"Bulah Fay DVM"
2022,7,"Kailyn Gorczany","Central African Republic","Precision Pattern and Die Caster",0,"Kailyn Gorczany"
2022,8,"Ms. Phyllis Ebert PhD",Cameroon,"School Bus Driver",0,"Ms. Phyllis Ebert PhD"
2022,9,"Duane Renner","Holy See (Vatican City State)","General Manager",0,"Duane Renner"
2022,10,"Prof. Khalid Simonis III",Panama,"Tool Sharpener",0,"Prof. Khalid Simonis III"
2022,1,"Treva Hermiston",Guyana,"Aerospace Engineer",0,"Treva Hermiston"
2022,2,"Myrl Gusikowski",Canada,"Personnel Recruiter",0,"Myrl Gusikowski"
2022,3,"Katrina Schoen","Netherlands Antilles","Shuttle Car Operator",0,"Katrina Schoen"
2022,4,"Carmela Rosenbaum","Sierra Leone","Irradiated-Fuel Handler",0,"Carmela Rosenbaum"
2022,5,"Addison Koch",Mali,"Drycleaning Machine Operator",0,"Addison Koch"
2022,6,"Linda McCullough PhD",Samoa,Gauger,0,"Linda McCullough PhD"
2022,7,"Lafayette Keeling V",Australia,"Engineering Manager",0,"Lafayette Keeling V"
2022,8,"Mr. Lourdes Schaefer Jr.",Guatemala,Machinist,0,"Mr. Lourdes Schaefer Jr."
2022,9,"Dr. Jasper Bernhard","Turks and Caicos Islands","Air Traffic Controller",0,"Dr. Jasper Bernhard"
2022,10,"Ruben Senger","Isle of Man",Bookkeeper,0,"Ruben Senger"
2022,1,"Dr. Thalia Pouros","Bouvet Island (Bouvetoya)",Waitress,0,"Dr. Thalia Pouros"
2022,2,"Otis Conn",Jersey,"Night Security Guard",0,"Otis Conn"
2022,3,"Abigale Douglas","Western Sahara","Separating Machine Operators",0,"Abigale Douglas"
2022,4,"Vicenta O'Keefe",Korea,"Video Editor",0,"Vicenta O'Keefe"
2022,5,"Lorenzo McLaughlin",Swaziland,"Transit Police OR Railroad Police",0,"Lorenzo McLaughlin"
2022,6,"Aylin Quigley",Latvia,"Title Examiner",0,"Aylin Quigley"
2022,7,"Prof. Roman Streich I",Switzerland,Home,0,"Prof. Roman Streich I"
2022,8,"Selena Upton I",Chile,"Director Of Social Media Marketing",0,"Selena Upton I"
2022,9,"Courtney Hamill",Honduras,Opticians,0,"Courtney Hamill"
2022,10,"Danyka Koepp",Canada,"Purchasing Manager",0,"Danyka Koepp"
2022,1,"Alfreda Kemmer IV",Reunion,"Lawn Service Manager",0,"Alfreda Kemmer IV"
2022,2,"Mrs. Alana Marquardt III","French Southern Territories","Photographic Process Worker",0,"Mrs. Alana Marquardt III"
2022,3,"Dr. Ryley Lockman V","Christmas Island","Zoologists OR Wildlife Biologist",0,"Dr. Ryley Lockman V"
2022,4,"Mrs. Cecelia McCullough I",Somalia,"Medical Appliance Technician",0,"Mrs. Cecelia McCullough I"
2022,5,"Miss Aubrey Dickinson PhD","Lao People's Democratic Republic","Private Sector Executive",0,"Miss Aubrey Dickinson PhD"
2022,6,"Miss Kaya Hagenes IV",Benin,"Human Resource Director",0,"Miss Kaya Hagenes IV"
2022,7,"Rod O'Keefe",Rwanda,"Welding Machine Tender",0,"Rod O'Keefe"
2022,8,"Xavier Jacobs DVM",Greece,"Heating and Air Conditioning Mechanic",0,"Xavier Jacobs DVM"
2022,9,"Sabryna Zieme V",Korea,"Psychology Teacher",0,"Sabryna Zieme V"
2022,10,"Stanley Leuschke",Iceland,"Compliance Officers",0,"Stanley Leuschke"
2022,1,"Nichole Mayert",Benin,"Milling Machine Operator",0,"Nichole Mayert"
2022,2,"Maya Beier",Georgia,"Printing Machine Operator",0,"Maya Beier"
2022,3,"Dr. Lurline Boyer Sr.",Poland,"Business Operations Specialist",0,"Dr. Lurline Boyer Sr."
2022,4,"Dianna Purdy",Tokelau,"Information Systems Manager",0,"Dianna Purdy"
2022,5,"Carolina Renner DDS",Ukraine,"Psychology Teacher",0,"Carolina Renner DDS"
2022,6,"Salvador Marvin","Solomon Islands","Petroleum Pump System Operator",0,"Salvador Marvin"
2022,7,"Ruben Halvorson Sr.","Turks and Caicos Islands",RN,0,"Ruben Halvorson Sr."
2022,8,"Hazel Steuber",Serbia,Admin,0,"Hazel Steuber"
2022,9,"Dr. Austin Harris",Lebanon,"Social Service Specialists",0,"Dr. Austin Harris"
2022,10,"Jana Wiegand",Venezuela,"Real Estate Appraiser",0,"Jana Wiegand"
2022,1,"Nola Kshlerin","El Salvador",Engineer,0,"Nola Kshlerin"
2022,2,"Krystal Stracke",Belize,Bellhop,0,"Krystal Stracke"
2022,3,"Elisha Langosh","Papua New Guinea",Counselor,0,"Elisha Langosh"
2022,4,"Earl Thiel",Niger,"Welfare Eligibility Clerk",0,"Earl Thiel"
2022,5,"Prof. Elva Schmeler Jr.",Guadeloupe,"Music Arranger and Orchestrator",0,"Prof. Elva Schmeler Jr."
2022,6,"Ms. Reta Rath","Northern Mariana Islands","Private Sector Executive",0,"Ms. Reta Rath"
2022,7,"Mr. Rod Harvey IV",Afghanistan,"Telecommunications Line Installer",0,"Mr. Rod Harvey IV"
2022,8,"Mallory Hayes PhD","Lao People's Democratic Republic","Anthropology Teacher",0,"Mallory Hayes PhD"
2022,9,"Prof. Gavin Lowe","Solomon Islands","Geological Data Technician",0,"Prof. Gavin Lowe"
2022,10,"Mr. Lee Mayert DVM",Haiti,"Order Filler OR Stock Clerk",0,"Mr. Lee Mayert DVM"
2022,1,"Lora Haley",Macedonia,"Software Engineer",0,"Lora Haley"
2022,2,"Marlene Hickle",Kenya,"Clinical School Psychologist",0,"Marlene Hickle"
2022,3,"Dr. Percy Willms","New Caledonia","Industrial Engineering Technician",0,"Dr. Percy Willms"
2022,4,"Fausto Tromp",Dominica,"Nuclear Medicine Technologist",0,"Fausto Tromp"
2022,5,"Noemi Schamberger",Mozambique,"Telephone Station Installer and Repairer",0,"Noemi Schamberger"
2022,6,"Ms. Haylie Crona",Mauritania,"Probation Officers and Correctional Treatment Specialist",0,"Ms. Haylie Crona"
2022,7,"Clinton Hickle",Macao,Professor,0,"Clinton Hickle"
2022,8,"Esther Nolan Sr.",Zambia,"Administrative Services Manager",0,"Esther Nolan Sr."
2022,9,"Mr. Justyn Yost II",Korea,"Music Director",0,"Mr. Justyn Yost II"
2022,10,"Mr. Earnest Pfeffer DDS","Netherlands Antilles","Anthropology Teacher",0,"Mr. Earnest Pfeffer DDS"
2022,1,"Dr. Leonel Considine DVM",Niger,"Insurance Investigator",0,"Dr. Leonel Considine DVM"
2022,2,"Valerie Moen DVM","Svalbard & Jan Mayen Islands","Telecommunications Equipment Installer",0,"Valerie Moen DVM"
2022,3,"Emmitt Parker DVM",Tajikistan,Postmasters,0,"Emmitt Parker DVM"
2022,4,"Amari Mertz",Cuba,"Manager of Food Preparation",0,"Amari Mertz"
2022,5,"Bettie Collier",Lithuania,"Sales Representative",0,"Bettie Collier"
2022,6,"Chasity Greenfelder IV",Dominica,"Private Detective and Investigator",0,"Chasity Greenfelder IV"
2022,7,"Lavon Lubowitz",Philippines,"Embossing Machine Operator",0,"Lavon Lubowitz"
2022,8,"Sean Champlin DDS",Panama,"Glass Cutting Machine Operator",0,"Sean Champlin DDS"
2022,9,"Ellsworth Labadie","Saint Martin",Cabinetmaker,0,"Ellsworth Labadie"
2022,10,"Dr. Mason Klein","Faroe Islands","Visual Designer",0,"Dr. Mason Klein"
2022,1,"Eliezer Turcotte",Sweden,"Government Property Inspector",0,"Eliezer Turcotte"
2022,2,"Erna Heaney I",Guyana,"Musical Instrument Tuner",0,"Erna Heaney I"
2022,3,"Mrs. Amina Mayert","Syrian Arab Republic","Security Systems Installer OR Fire Alarm Systems Installer",0,"Mrs. Amina Mayert"
2022,4,"Patsy Armstrong Jr.",Sweden,Upholsterer,0,"Patsy Armstrong Jr."
2022,5,"Dr. Myah Fritsch",Sudan,"Fence Erector",0,"Dr. Myah Fritsch"
2022,6,"Mrs. Rae Huel MD",Swaziland,Physicist,0,"Mrs. Rae Huel MD"
2022,7,"Percival McLaughlin",Bermuda,"Insurance Appraiser",0,"Percival McLaughlin"
2022,8,"Drake Denesik I",Nigeria,"General Farmworker",0,"Drake Denesik I"
2022,9,"Ms. Marge Stanton III",Belize,"Umpire and Referee",0,"Ms. Marge Stanton III"
2022,10,"Van Wehner","Heard Island and McDonald Islands","Purchasing Agent",0,"Van Wehner"
2022,1,"Yessenia Collier",Iraq,"Chemical Equipment Tender",0,"Yessenia Collier"
2022,2,"Adaline Buckridge II",Portugal,"Keyboard Instrument Repairer and Tuner",0,"Adaline Buckridge II"
2022,3,"Dr. Hilton Kunze",Romania,"Home Entertainment Equipment Installer",0,"Dr. Hilton Kunze"
2022,4,"Dan Barrows",Tokelau,"Nonfarm Animal Caretaker",0,"Dan Barrows"
2022,5,"Ava Schuster I",Anguilla,"Dental Hygienist",0,"Ava Schuster I"
2022,6,"Stephon Volkman",Tuvalu,"Administrative Support Supervisors",0,"Stephon Volkman"
2022,7,"Ignacio Cassin",Montserrat,Internist,0,"Ignacio Cassin"
2022,8,"Nia Zboncak",Malaysia,"Molding Machine Operator",0,"Nia Zboncak"
2022,9,"Alan Halvorson",Cambodia,"Electro-Mechanical Technician",0,"Alan Halvorson"
2022,10,"Pansy Anderson",Guinea-Bissau,"Fabric Pressers",0,"Pansy Anderson"
2022,1,"Isabelle Purdy",Denmark,"Railroad Inspector",0,"Isabelle Purdy"
2022,2,"Eduardo Beahan",Cambodia,"Aerospace Engineer",0,"Eduardo Beahan"
2022,3,"Ila Rippin",Israel,"Motion Picture Projectionist",0,"Ila Rippin"
2022,4,"Mr. Merlin Nader","Saint Vincent and the Grenadines","Atmospheric and Space Scientist",0,"Mr. Merlin Nader"
2022,5,"Odessa Kub",Chile,"Production Control Manager",0,"Odessa Kub"
2022,6,"Prof. Amani Farrell V",Taiwan,"Plating Machine Operator",0,"Prof. Amani Farrell V"
2022,7,"Miss Serenity Berge Sr.","French Guiana","Nuclear Equipment Operation Technician",0,"Miss Serenity Berge Sr."
2022,8,"Jo Mayert",Bahamas,Brazer,0,"Jo Mayert"
2022,9,"Prof. Liliana Ziemann Jr.","Heard Island and McDonald Islands","Gaming Dealer",0,"Prof. Liliana Ziemann Jr."
2022,10,"Myron Swaniawski III",Palau,"Gas Appliance Repairer",0,"Myron Swaniawski III"
2022,1,"Viviane Dietrich",Belarus,City,0,"Viviane Dietrich"
2022,2,"Dr. Cordell Koepp",Germany,"Logging Equipment Operator",0,"Dr. Cordell Koepp"
2022,3,"Alexis Collins",Macao,"Payroll Clerk",0,"Alexis Collins"
2022,4,"Broderick Fay",Mongolia,"Heavy Equipment Mechanic",0,"Broderick Fay"
2022,5,"Summer Altenwerth",Guatemala,"Sales Manager",0,"Summer Altenwerth"
2022,6,"Modesta Ruecker","Hong Kong","Stock Clerk",0,"Modesta Ruecker"
2022,7,"Chelsea Armstrong I","Cook Islands","Caption Writer",0,"Chelsea Armstrong I"
2022,8,"Liliana Barton",Bhutan,"Farm Labor Contractor",0,"Liliana Barton"
2022,9,"Gillian Koelpin MD","Bosnia and Herzegovina","Structural Iron and Steel Worker",0,"Gillian Koelpin MD"
2022,10,"Dr. Wilbert Lemke",Thailand,"Mine Cutting Machine Operator",0,"Dr. Wilbert Lemke"
2022,1,"Kellie Bruen",Chile,"Desktop Publisher",0,"Kellie Bruen"
2022,2,"Kiera Graham",Swaziland,"Engine Assembler",0,"Kiera Graham"
2022,3,"Maurine Willms","United States of America","Social Service Specialists",0,"Maurine Willms"
2022,4,"Prof. Tyler Johnston DVM",Swaziland,"Musician OR Singer",0,"Prof. Tyler Johnston DVM"
2022,5,"Alicia Pacocha",Bermuda,"Veterinary Assistant OR Laboratory Animal Caretaker",0,"Alicia Pacocha"
2022,6,"Dr. Aylin Runolfsson III",Turkmenistan,"Preschool Teacher",0,"Dr. Aylin Runolfsson III"
2022,7,"Arlie Kshlerin","Puerto Rico","Ship Carpenter and Joiner",0,"Arlie Kshlerin"
2022,8,"Stevie Grimes IV",Djibouti,"Packaging Machine Operator",0,"Stevie Grimes IV"
